,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
38,39,100,2019-07-20,KCA,CLE,7-7,H(5),2,1.0,1,0,0,0,2,0,0,6.0,4,20,15,2,5,0,2,1,1,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.72,0.114,0.0,0.00%,0.58,5.65,9.0,7b --- 0 out a1,7b 3 out a1,,CLE,1.0,W,1,0
39,40,102,2019-07-23,KCA,ATL,7-7,H(6),2,0.2,0,1,1,1,0,0,0,6.13,3,14,7,2,1,2,0,0,0,0,,0,0,1,0,0,2,0,0,0,0,0,0,2.51,0.027999999999999997,0.0,0.00%,0.17,-1.1,-1.0,7b --- 0 out a1,7b --3 2 out a1,,ATL,5.0,W,5,4
40,41,104,2019-07-25,KCA,CLE,9-10,,1,2.0,1,0,0,1,1,0,0,5.83,8,26,18,1,5,3,3,1,0,0,,0,0,0,0,0,6,0,0,1,0,0,0,2.87,0.297,0.0,0.00%,1.12,5.3,9.0,9t --- 0 out tie,10t 3 out tie,,KCR,1.0,L,4,5
41,42,108,2019-07-29,KCA,TOR,8-8,,3,1.0,0,0,0,1,3,0,0,5.7,4,19,12,2,8,0,0,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,1.62,0.163,0.0,0.00%,1.48,7.65,12.0,8t --3 0 out d1,8t 3 out d1,,KCR,1.0,L,3,7
42,43,113,2019-08-04,KCA,MIN,8-GF(8),,5,0.2,1,0,0,1,1,0,0,5.61,3,12,7,2,2,0,1,0,0,0,,1,1,0,0,0,2,0,0,0,0,0,0,0.37,-0.027000000000000003,0.0,0.00%,-0.43,2.3,5.0,8b 1-- 1 out d2,8b end d 3,,MIN,10.0,L,0,3
43,44,114,2019-08-05,KCA,BOS,7-7,,0,0.2,1,1,1,1,1,0,0,5.73,4,19,9,1,3,1,1,1,0,0,,2,2,0,0,0,3,1,0,0,0,0,0,0.4,-0.068,0.0,0.00%,-1.74,0.3,2.0,7b 1-3 1 out d2,7b 3 out d5,,BOS,10.0,L,5,7
44,45,116,2019-08-07,KCA,BOS,8-8,,1,1.0,0,0,0,1,1,0,0,5.6,4,18,11,2,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.56,0.11599999999999999,0.0,0.00%,0.58,3.65,6.0,8b --- 0 out tie,8b 3 out tie,,BOS,1.0,L,4,5
45,46,117,2019-08-08,KCA,DET,8-8,,0,1.0,0,0,0,1,0,0,0,5.48,4,20,11,2,3,0,3,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.87,0.114,0.0,0.00%,0.56,1.65,3.0,8b --- 0 out tie,8b 3 out tie,,DET,1.0,L,8,10
46,47,120,2019-08-11,KCA,DET,7-8,H(7),2,2.0,1,0,0,0,2,0,0,5.25,6,20,14,3,2,2,2,1,0,0,,0,0,0,0,0,6,0,0,0,1,0,0,1.04,0.12300000000000001,0.0,0.00%,1.13,7.9,12.0,7b --- 0 out a2,8b 3 out a4,,DET,0.5,W,10,2
47,48,121,2019-08-13,KCA,STL,9-GF,,1,1.0,0,0,0,2,0,0,0,5.14,5,21,11,3,2,0,3,0,1,0,,0,0,1,0,0,3,0,0,0,0,0,0,0.43,0.021,0.0,0.00%,0.56,1.05,3.0,9t --- 0 out d2,9t end d 2,,KCR,2.0,L,0,2
48,49,123,2019-08-16,KCA,NYM,8-8,H(8),2,0.2,1,0,0,0,0,0,0,5.07,3,9,7,2,1,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.22,0.067,0.0,0.00%,0.31,0.9,2.0,8t --- 0 out a1,8t 1-- 2 out a1,,KCR,5.0,W,4,1
