Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
62,143,2018-09-08,OAK,TEX,7-7,H(21),2,1.0,0,0,0,0,1,0,0,2.09,3,15,10,0,3,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.26,0.095,1.42,0.06%,0.50,4.25,6.00,7t --- 0 out a1,7t 3 out a1,,OAK,0.0,W,8,6
63,144,2018-09-09,OAK,TEX,7-7,H(22),0,0.1,2,0,0,0,1,0,0,2.08,3,13,8,1,3,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.89,0.008,.94,0.01%,0.10,1.55,4.00,7t --- 2 out a3,7t 3 out a3,,OAK,20.0,W,7,3
64,145,2018-09-11,OAK,BAL,8-8,H(23),1,1.0,2,1,1,0,1,0,0,2.18,5,14,10,2,3,1,3,3,0,0,,0,0,1,0,0,5,0,0,0,0,0,0,2.14,0.000,2.51,0.00%,-0.50,1.05,3.00,8b --- 0 out a2,8b 3 out a1,,BAL,2.0,W,3,2
65,148,2018-09-14,OAK,TBR,8-8,,2,1.0,0,0,0,1,1,0,0,2.14,4,16,9,3,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.84,0.106,1.78,0.06%,0.50,3.65,6.00,8b --- 0 out tie,8b 3 out tie,,TBR,1.0,W,2,1
66,151,2018-09-18,OAK,LAA,6-6,BL(8-3),3,0.2,2,3,3,0,1,1,1,2.50,5,15,10,0,4,1,2,1,0,0,,3,3,0,0,0,4,0,0,0,0,0,0,2.29,-0.591,1.82,-0.28%,-4.43,-4.30,-4.00,6t 123 1 out a3,6t 3 out d3,,OAK,10.0,L,7,9
67,154,2018-09-21,OAK,MIN,6-6,,2,0.0,4,4,4,0,0,1,0,3.00,4,12,7,2,1,0,4,3,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.26,-0.275,1.05,-0.14%,-2.99,-10.40,-12.00,6t --- 0 out a4,6t 12- 0 out a2,,OAK,inf,W,7,6
68,160,2018-09-28,OAK,LAA,GS-1,,6,1.0,0,0,0,0,0,0,0,2.96,3,11,7,0,0,2,1,0,1,0,53,,,0,0,0,3,0,0,0,0,0,0,.63,0.048,.10,0.01%,0.50,2.25,3.00,1b start tie,1b 3 out tie,,LAA,0.0,L,5,8
69,162,2018-09-30,OAK,LAA,4-4,,1,1.0,0,0,0,0,2,0,0,2.92,3,13,9,4,4,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.79,0.060,.00,0.00%,0.50,6.25,9.00,4b --- 0 out tie,4b 3 out tie,,LAA,0.0,L,4,5
70,1,2019-03-20,OAK,SEA,9-GF,,99,1.0,0,0,0,0,3,0,0,0.00,3,17,9,3,4,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.25,0.019,.27,0.01%,0.53,8.25,12.00,9t --- 0 out d2,9t end d 2,,OAK,0.0,L,7,9
71,2,2019-03-21,OAK,SEA,8-8,,0,1.0,1,0,0,0,1,0,0,0.00,4,14,13,3,3,2,1,0,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,2.14,0.110,2.17,0.07%,0.53,3.65,6.00,8t --- 0 out tie,8t 3 out tie,,OAK,1.0,L,4,5
