,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
37,38,83,2019-06-30,CLE,BAL,GS-8,W(7-3),4,8.0,3,0,0,0,11,0,0,3.54,26,112,72,17,15,10,5,1,2,0,87.0,,,0,0,1,26,1,0,0,0,0,0,1.04,0.583,1.02,0.34%,4.38,42.2,69.0,1b start tie,8b 3 out a2,,BAL,0.375,W,2,0
38,39,87,2019-07-06,CLE,CIN,GS-8,W(8-3),5,8.0,4,2,2,0,8,1,0,3.45,28,103,75,23,13,12,8,6,0,0,74.0,,,0,0,0,28,1,0,0,0,0,0,0.96,0.33,1.2,0.25%,2.36,31.6,54.0,1b start a 1,8b 3 out a2,,CIN,0.5,W,7,2
39,40,91,2019-07-14,CLE,MIN,GS-7,,7,6.1,5,3,3,1,9,0,2,3.49,27,109,73,18,17,8,7,4,0,0,59.0,,,0,0,0,24,1,0,0,1,0,0,1.28,-0.04,1.98,-0.04%,0.37,21.45,37.0,1t start tie,7t 123 1 out a1,,CLE,0.9836065573770492,W,4,3
40,41,96,2019-07-19,CLE,KCR,GS-6,W(9-3),4,5.2,7,5,5,4,6,0,0,3.69,27,103,67,26,8,5,12,6,1,0,37.0,,,0,0,0,23,2,0,1,0,0,0,1.0,0.038,1.4,0.03%,0.62,12.15,32.0,1t start tie,6t 123 2 out a4,,CLE,2.1153846153846154,W,10,5
41,42,101,2019-07-24,CLE,TOR,SHO,W(10-3),4,9.0,1,0,0,1,10,0,1,3.44,29,102,68,18,18,4,13,6,3,0,94.0,,,0,0,0,27,1,0,0,1,0,0,1.21,0.612,1.82,0.55%,4.82,47.45,69.0,1b start tie,9b 3 out a4,,TOR,0.2222222222222222,W,4,0
42,43,106,2019-07-30,CLE,HOU,GS-7,L(10-4),5,7.0,9,2,2,1,8,1,0,3.4,29,108,75,24,13,9,11,6,0,0,58.0,,,0,1,0,28,1,0,0,1,0,0,0.94,0.121,1.44,0.11%,2.02,21.75,39.0,1t start tie,7t 3 out d2,,CLE,1.4285714285714286,L,0,2
43,44,111,2019-08-04,CLE,LAA,CG,W(11-4),4,9.0,5,2,2,0,8,1,0,3.31,31,107,76,23,14,14,9,5,2,0,77.0,,,0,0,0,31,2,0,0,1,0,0,0.73,0.303,1.07,0.27%,3.17,35.75,57.0,1t start tie,9t 3 out a4,,CLE,0.5555555555555556,W,6,2
44,45,116,2019-08-09,CLE,MIN,GS-8,W(12-4),4,7.0,7,2,2,2,11,2,0,3.28,30,108,74,22,15,9,8,3,1,0,64.0,,,0,0,0,28,0,0,0,0,0,0,0.75,0.24100000000000002,1.65,0.32%,1.47,32.35,60.0,1b start tie,8b 1-- 0 out a4,,MIN,1.2857142857142858,W,6,2
45,46,121,2019-08-14,CLE,BOS,GS-6,L(12-5),4,6.0,7,2,2,1,7,2,0,3.27,26,107,77,18,17,8,10,5,1,0,56.0,,,0,0,0,25,0,0,0,0,0,0,1.03,0.124,1.53,0.11%,1.45,18.7,33.0,1t start tie,6t 3 out d1,,CLE,1.3333333333333333,L,1,5
46,47,126,2019-08-20,CLE,NYM,GS-6,L(12-6),5,6.0,4,4,2,1,7,2,0,3.26,24,83,58,15,11,4,12,2,2,0,58.0,,,0,0,0,23,0,0,0,0,0,2,0.87,-0.21100000000000002,1.43,-0.21%,-1.08,20.5,33.0,1b start tie,6b 3 out d2,,NYM,0.8333333333333334,L,2,9
47,48,131,2019-08-25,CLE,KCR,GS-7,,4,7.0,6,3,2,2,8,1,0,3.23,27,111,75,18,15,10,7,3,0,0,61.0,,,1,0,0,25,2,0,0,2,0,0,0.96,0.1,1.7,0.11%,1.02,22.95,39.0,1t start tie,7t 3 out d1,,CLE,1.1428571428571428,L,8,9
48,49,135,2019-08-30,CLE,TBR,GS-7,L(12-7),4,6.1,6,3,3,0,9,0,0,3.27,24,109,75,23,15,5,10,7,2,0,58.0,,,0,0,1,24,0,0,0,0,0,0,1.18,0.141,2.39,0.17%,1.8,22.65,37.0,1b start tie,7b 12- 1 out d1,,TBR,0.9836065573770492,L,0,4
49,50,140,2019-09-04,CLE,CHW,GS-7,W(13-7),4,7.0,6,2,2,2,9,0,0,3.24,28,114,74,16,16,7,10,7,1,0,64.0,,,0,0,0,25,2,0,0,1,1,0,1.05,0.168,1.69,0.16%,2.02,28.95,54.0,1t start tie,7t 3 out a4,,CLE,1.1428571428571428,W,8,6
50,51,145,2019-09-09,CLE,LAA,GS-7,W(14-7),4,7.0,5,1,1,0,8,1,0,3.17,26,111,77,21,13,5,13,1,2,0,71.0,,,0,0,0,26,0,0,0,0,0,0,0.88,0.262,1.52,0.27%,2.79,30.75,54.0,1b start a 1,7b 3 out a5,,LAA,0.7142857142857143,W,6,2
51,52,150,2019-09-15,CLE,MIN,GS-6,,5,5.2,11,4,4,1,4,3,0,3.26,27,100,64,10,11,9,13,7,0,0,34.0,,,0,0,0,26,1,0,0,1,0,0,1.04,-0.198,1.76,-0.20%,-1.03,5.55,17.0,1t start tie,6t 12- 2 out d2,,CLE,2.3076923076923075,W,7,5
52,53,154,2019-09-20,CLE,PHI,GS-8,W(15-7),4,7.1,7,2,2,0,7,0,0,3.23,28,101,67,18,15,10,11,5,2,0,63.0,,,0,0,0,28,3,0,0,1,0,0,0.99,0.239,2.34,0.34%,1.86,26.3,49.0,1t start tie,8t -2- 1 out a3,,CLE,0.9859154929577464,W,5,2
53,54,158,2019-09-25,CLE,CHW,GS-6,L(15-8),4,5.2,10,5,3,1,7,1,0,3.28,28,98,61,14,14,7,13,7,1,0,39.0,,,0,1,0,27,0,0,0,0,0,0,0.73,-0.226,2.12,-0.39%,-2.03,14.15,29.0,1b start tie,6b 1-- 2 out d2,,CHW,2.1153846153846154,L,3,8
