,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
37,38,162,2018-09-30,,TOR,3-5,W(16-6),5,3.0,4,2,1,1,2,0,0,3.91,14,51,31,8,7,0,11,5,1,0,,0.0,0.0,0,0,0,13,2,0,0,0,0,0,1.05,-0.081,0.0,0.00%,-0.51,9.75,24.0,3t --- 0 out tie,5t 3 out tie,,TBR,1.6666666666666667,W,9,4
38,39,5,2019-04-01,,COL,2-6,W(1-0),99,4.1,3,1,1,0,3,0,1,2.08,16,57,37,9,7,5,7,3,1,0,,0.0,0.0,0,0,0,15,0,0,0,1,0,0,1.02,0.175,1.01,0.10%,1.73,15.35,31.0,2t --- 0 out tie,6t 12- 1 out a3,,TBR,0.7317073170731708,W,7,1
39,40,9,2019-04-06,,SFG,5-7,BL(1-1),4,3.0,4,4,4,1,2,1,0,6.14,14,49,32,8,5,4,7,1,1,0,,0.0,0.0,0,0,0,13,1,0,0,0,0,0,0.76,-0.40399999999999997,0.83,-0.27%,-2.51,-0.25,3.0,5b --- 0 out a1,7b 3 out d2,,SFG,1.6666666666666667,L,4,6
40,41,14,2019-04-12,,TOR,3-4,W(2-1),5,2.0,0,0,0,0,1,0,0,4.82,6,16,12,4,0,4,1,0,1,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,0.41,0.063,0.55,0.05%,1.07,10.5,21.0,3b --- 0 out a5,4b 3 out a5,,TOR,0.0,W,11,7
41,42,20,2019-04-19,,BOS,3-5,,6,3.0,3,3,3,1,6,1,0,5.84,13,55,38,9,10,3,3,2,0,0,,0.0,0.0,0,0,0,12,1,0,0,0,0,0,0.99,-0.209,1.34,-0.17%,-1.39,10.35,18.0,3t --- 0 out a1,5t 3 out d1,,TBR,1.3333333333333333,L,4,6
42,43,25,2019-04-24,,KCR,4-8,,4,4.1,8,7,7,2,2,1,0,8.1,22,74,43,12,2,6,12,7,0,0,,1.0,1.0,0,0,0,19,3,1,1,1,1,0,0.47,-0.205,0.57,-0.15%,-4.23,-6.25,-2.0,4t --3 1 out d1,8t -2- 2 out d7,,TBR,2.4390243902439033,L,2,10
43,44,47,2019-05-23,,CLE,GS-8,W(3-1),28,7.1,4,2,2,1,4,0,0,6.38,27,99,67,16,17,9,13,8,2,0,65.0,,,0,0,0,26,1,0,0,0,0,0,0.6,0.294,0.78,0.23%,2.29,21.5,40.0,1b start a 2,8b --- 1 out a5,,CLE,0.7042253521126761,W,7,2
44,45,52,2019-05-28,,TOR,3-6,W(4-1),4,3.2,2,0,0,1,1,0,0,5.53,14,53,33,12,3,5,7,3,2,0,,0.0,0.0,0,0,0,13,1,0,0,0,0,0,1.19,0.233,1.42,0.17%,2.03,12.45,26.0,3t --- 0 out a1,6t --- 2 out a2,,TBR,0.9375,W,3,1
45,46,57,2019-06-02,,MIN,GS-7,L(4-2),4,7.0,10,7,7,2,4,0,2,6.23,31,92,57,13,8,12,11,8,2,0,31.0,,,1,0,0,26,3,0,0,4,1,1,0.69,-0.252,0.85,-0.19%,-3.25,1.35,12.0,1t start tie,7t 3 out d7,,TBR,1.7142857142857142,L,7,9
46,47,62,2019-06-08,,BOS,GS-8,W(5-2),5,7.2,4,2,1,0,7,1,0,5.31,27,110,75,18,14,14,6,2,0,0,72.0,,,0,0,0,27,0,0,0,2,0,2,0.84,0.278,1.2,0.24%,2.52,30.85,53.0,1b start tie,8b --- 2 out a3,1.0,BOS,0.5555555555555556,W,9,2
47,48,68,2019-06-13,,LAA,GS-6,L(5-3),4,6.0,5,5,5,1,4,2,2,5.59,26,90,58,20,5,5,14,7,2,0,45.0,,,0,0,0,23,2,1,0,0,0,0,0.68,-0.179,0.85,-0.14%,-1.79,6.7,15.0,1t start tie,6t 3 out d2,,TBR,1.0,L,3,5
48,49,73,2019-06-18,,NYY,2-5,,4,3.0,1,0,0,0,2,0,0,5.26,10,42,25,6,4,4,4,2,0,0,,0.0,0.0,0,0,0,10,0,0,0,0,0,0,0.84,0.192,1.57,0.22%,1.62,10.15,15.0,2b --- 1 out tie,5b --- 1 out a1,,NYY,0.3333333333333333,L,3,6
