Name,first_season,last_season,games_played,games_started,teams,num_teams,key_mlbam,key_retro,key_bbref,key_fangraphs,pitcher_cleaned
Andrew Triggs,2016,2018,45,27,['Athletics'],1,592811,triga001,triggan01,13533,andrewtriggs
Andrew Werner,2012,2012,8,8,['Padres'],1,599819,werna001,wernean01,11783,andrewwerner
Andy Ashby,2000,2004,86,75,['- - -' 'Dodgers' 'Padres'],3,110351,ashba002,ashbyan01,637,andyashby
Andy Benes,2000,2002,75,63,['Cardinals'],1,110854,benea001,benesan01,1144,andybenes
Andy Good,2003,2005,35,12,['Diamondbacks' 'Tigers'],2,425627,gooda001,goodan01,1690,andygood
Andy Pettitte,2000,2013,366,363,['Yankees' 'Astros'],2,120485,petta001,pettian01,840,andypettitte
Andy Sonnanstine,2007,2011,132,80,['Devil Rays' 'Rays'],2,458567,sonna001,sonnaan01,7667,andysonnanstine
Andy Van Hekken,2002,2002,5,5,['Tigers'],1,407843,vanha001,vanhean01,1630,andyvanhekken
Aneury Rodriguez,2011,2012,44,9,['Astros'],1,444553,rodra002,rodrian01,8948,aneuryrodriguez
Angel Guzman,2006,2009,88,14,['Cubs'],1,425768,guzma001,guzmaan01,2145,angelguzman
Anibal Sanchez,2006,2019,339,316,['Marlins' '- - -' 'Tigers' 'Braves' 'Nationals'],5,434671,sanca004,sanchan01,3284,anibalsanchez
Anthony Banda,2017,2019,14,5,['Diamondbacks' 'Rays'],2,607455,banda001,bandaan01,14706,anthonybanda
Anthony Bass,2011,2019,191,18,['Padres' 'Astros' 'Rangers' 'Cubs' 'Mariners'],5,542914,bassa001,bassan01,7982,anthonybass
Anthony DeSclafani,2014,2019,116,108,['Marlins' 'Reds'],2,543101,desca001,desclan01,13050,anthonydesclafani
Anthony Kay,2019,2019,3,2,['Blue Jays'],1,641743,kay-a001,kayan01,20387,anthonykay
Anthony Lerew,2005,2010,20,11,['Braves' 'Royals'],2,434679,lerea001,lerewan01,3440,anthonylerew
Anthony Ortega,2009,2009,3,3,['Angels'],1,471162,ortea001,ortegan01,6745,anthonyortega
Anthony Ranaudo,2014,2016,20,14,['Red Sox' 'Rangers' '- - -'],3,519168,ranaa001,ranauan01,11424,anthonyranaudo
Anthony Reyes,2005,2009,67,52,['Cardinals' '- - -' 'Indians'],3,435039,reyea002,reyesan01,7105,anthonyreyes
Anthony Swarzak,2009,2019,375,32,['Twins' 'Indians' 'Yankees' '- - -' 'Mets'],5,461872,swara001,swarzan01,7466,anthonyswarzak
Anthony Vasquez,2011,2011,7,7,['Mariners'],1,457786,vasqa001,vasquan01,6577,anthonyvasquez
Antonio Bastardo,2009,2017,419,5,['Phillies' 'Pirates' '- - -'],3,455374,basta001,bastaan01,8844,antoniobastardo
Antonio Senzatela,2017,2019,84,58,['Rockies'],1,622608,senza001,senzaan01,15488,antoniosenzatela
Archie Bradley,2015,2019,239,35,['Diamondbacks'],1,605151,brada001,bradlar01,12918,archiebradley
Ariel Jurado,2018,2019,44,26,['Rangers'],1,642558,juraa001,juradar01,17030,arieljurado
Ariel Miranda,2016,2018,44,40,['- - -' 'Mariners'],2,664641,miraa002,miranar01,17526,arielmiranda
