Team,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,Year,WHIP
Twins,78,84,4.5,728,162,2,1,37,83.0,28.0,1443.1,6287,1425,775,722,198,573,34,80,59,0,1377,2018,1.384519437322431
Nationals,93,69,4.28,692,162,1,1,40,94.0,29.0,1439.1,6134,1340,724,684,202,517,41,61,53,5,1511,2019,1.290389826975193
Twins,101,61,4.18,686,162,1,0,50,102.0,22.0,1463.1,6246,1456,754,680,198,452,10,61,71,5,1463,2019,1.3040803772811156
Mets,86,76,4.25,664,162,3,3,38,59.0,27.0,1461.0,6232,1405,737,690,204,500,40,60,47,2,1520,2019,1.3039014373716633
Diamondbacks,85,77,4.25,719,162,0,0,45,90.0,24.0,1465.0,6230,1400,743,691,220,516,38,62,49,4,1427,2019,1.307849829351536
Braves,97,65,4.2,737,162,1,0,44,106.0,22.0,1450.2,6243,1421,743,677,203,548,33,69,70,3,1393,2019,1.3577437594814508
Reds,75,87,4.18,697,162,0,0,46,85.0,23.0,1438.0,6057,1270,711,668,214,536,31,58,35,8,1552,2019,1.2559109874826146
Astros,107,55,3.66,654,162,2,1,47,97.0,20.0,1462.1,5995,1205,640,595,230,448,0,41,41,8,1671,2019,1.1305656247862663
Athletics,97,65,3.97,709,162,1,1,45,109.0,30.0,1465.0,6153,1342,680,646,201,477,19,66,74,4,1299,2019,1.2416382252559728
Cardinals,91,71,3.82,704,162,1,1,52,97.0,21.0,1444.0,6068,1284,662,613,191,545,41,69,46,4,1399,2019,1.2666204986149585
Indians,93,69,3.79,684,162,6,5,42,77.0,16.0,1437.2,6008,1308,657,606,207,450,19,62,42,2,1508,2019,1.2232118007236292
Rays,96,66,3.67,765,162,0,0,46,116.0,24.0,1474.1,6086,1274,656,602,181,453,27,60,59,7,1621,2019,1.171562309205617
Yankees,103,59,4.31,707,162,1,1,50,101.0,25.0,1443.0,6133,1374,739,691,248,507,12,44,55,5,1534,2019,1.3035343035343034
Cubs,84,78,4.1,738,162,1,1,38,71.0,28.0,1442.0,6190,1376,717,657,195,534,16,80,60,1,1444,2019,1.3245492371705965
Giants,77,85,4.38,749,162,1,0,41,86.0,22.0,1469.0,6256,1395,773,715,227,519,26,65,53,4,1368,2019,1.302927161334241
Rockies,71,91,5.58,752,162,1,1,28,62.0,23.0,1448.2,6423,1576,958,898,270,589,33,57,63,7,1264,2019,1.49495925977075
Phillies,81,81,4.53,726,162,3,1,36,94.0,19.0,1453.2,6274,1452,794,732,258,546,38,71,45,7,1392,2019,1.374896779521057
Padres,70,92,4.63,705,162,0,0,47,96.0,25.0,1432.0,6160,1394,789,737,215,463,19,68,60,6,1475,2019,1.2967877094972067
Red Sox,84,78,4.7,794,162,1,1,33,82.0,28.0,1471.0,6399,1423,828,768,215,605,22,76,81,6,1633,2019,1.3786539768864718
Marlins,57,105,4.74,701,162,2,2,27,55.0,22.0,1444.1,6247,1340,808,760,236,615,52,90,71,6,1378,2019,1.3537843639637146
Blue Jays,67,95,4.79,753,162,1,0,33,72.0,10.0,1440.1,6313,1450,828,767,228,604,25,69,70,6,1332,2019,1.4262898409832652
White Sox,72,89,4.91,697,161,6,2,33,73.0,16.0,1412.2,6159,1438,832,770,238,582,30,51,71,5,1312,2019,1.430392295708823
Mariners,68,94,5.0,700,162,3,2,34,66.0,29.0,1439.1,6268,1484,893,799,260,505,25,51,75,4,1239,2019,1.3821138211382116
Rangers,78,84,5.09,661,162,4,1,33,58.0,14.0,1438.0,6354,1515,878,813,241,583,11,70,68,3,1379,2019,1.458970792767733
Angels,72,90,5.12,751,162,0,0,32,72.0,14.0,1442.2,6289,1417,868,820,267,576,11,82,98,9,1404,2019,1.381916516433227
Pirates,69,93,5.19,712,162,1,0,31,57.0,24.0,1440.0,6391,1511,911,830,241,584,22,85,50,4,1443,2019,1.4548611111111112
Royals,59,103,5.2,682,162,1,1,37,61.0,23.0,1425.0,6307,1525,869,824,221,582,25,81,59,5,1230,2019,1.4785964912280702
Tigers,47,114,5.26,738,161,0,0,31,65.0,25.0,1433.0,6341,1555,915,837,250,536,24,69,66,7,1368,2019,1.4591765526866713
Orioles,54,108,5.67,695,162,0,0,27,57.0,27.0,1443.0,6396,1544,981,909,305,561,11,80,75,6,1248,2019,1.4587664587664588
Brewers,89,73,4.4,750,162,0,0,50,104.0,27.0,1459.1,6251,1364,766,714,225,570,28,60,41,3,1497,2019,1.3254746076348434
Dodgers,106,56,3.39,707,162,3,1,44,74.0,28.0,1445.2,5913,1201,613,545,185,392,24,66,40,7,1519,2019,1.102269582064766
