Team,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,Year,WHIP
Angels,77,85,4.28,537,162,5,2,39,56.0,13.0,1431.1,6161,1444,743,681,190,486,38,76,53,3,980,2003,1.348612955069527
Twins,90,72,4.41,561,162,7,3,45,65.0,19.0,1461.2,6246,1526,758,716,187,402,35,50,62,9,997,2003,1.3194634546947714
Giants,100,61,3.73,622,161,7,4,43,77.0,17.0,1437.1,6090,1349,638,595,136,546,34,43,68,8,1006,2003,1.3186277920812748
Mariners,93,69,3.76,528,162,8,3,38,48.0,14.0,1441.0,6025,1340,637,602,173,466,24,54,35,4,1001,2003,1.2532963219986122
Cubs,88,74,3.83,582,162,13,6,36,62.0,15.0,1456.1,6227,1304,683,619,143,617,36,71,63,3,1404,2003,1.3192775221482043
Diamondbacks,84,78,3.84,614,162,7,5,42,47.0,13.0,1455.0,6230,1379,685,621,150,526,53,72,52,9,1291,2003,1.309278350515464
Astros,87,75,3.87,664,162,1,0,50,91.0,14.0,1450.0,6176,1350,677,623,161,565,53,74,40,4,1139,2003,1.3206896551724139
Expos,83,79,4.01,599,162,15,2,42,67.0,18.0,1437.2,6171,1467,716,641,181,463,51,71,71,4,1028,2003,1.3428889507375452
Dodgers,85,77,3.16,600,162,3,3,58,81.0,8.0,1457.2,6001,1254,556,511,127,526,35,40,50,5,1289,2003,1.2215207246774635
Marlins,91,71,4.04,557,162,7,2,36,48.0,14.0,1445.1,6165,1415,692,649,128,530,40,40,51,11,1132,2003,1.3459276174659194
Phillies,86,76,4.06,599,162,9,7,33,56.0,18.0,1443.2,6195,1386,697,651,142,536,51,77,53,4,1060,2003,1.3317627494456763
Braves,101,61,4.1,651,162,4,1,51,75.0,20.0,1456.1,6247,1425,740,663,147,555,69,42,53,4,992,2003,1.3597967172584302
White Sox,86,76,4.17,523,162,12,0,36,33.0,17.0,1431.0,6067,1364,715,663,162,518,30,53,39,4,1056,2003,1.3151642208245982
Indians,68,94,4.21,590,162,5,2,34,52.0,25.0,1459.1,6254,1477,778,682,179,501,37,64,49,7,943,2003,1.355630182989514
Yankees,101,61,4.03,530,163,8,3,49,57.0,18.0,1462.0,6209,1512,716,655,145,375,36,49,33,0,1119,2003,1.2906976744186047
Phillies,86,76,4.47,638,162,4,4,43,82.0,25.0,1462.2,6308,1488,781,726,214,502,60,66,40,3,1070,2004,1.3609629325673642
Rangers,89,73,4.54,630,162,5,2,52,76.0,14.0,1439.2,6345,1536,794,727,182,547,29,81,34,11,979,2004,1.447331851028349
Yankees,101,61,4.69,598,162,1,0,59,70.0,17.0,1443.2,6240,1532,808,752,182,445,32,60,57,4,1058,2004,1.3698725055432373
Orioles,78,84,4.71,614,162,8,4,27,54.0,20.0,1455.1,6459,1488,830,761,159,687,43,62,68,9,1090,2004,1.4947426293725519
Mariners,63,99,4.76,576,162,7,2,28,42.0,21.0,1459.1,6389,1498,823,772,212,575,32,72,45,7,1036,2004,1.4207388115961894
Indians,80,82,4.82,641,162,8,3,32,55.0,28.0,1466.2,6450,1553,857,785,201,579,47,62,43,6,1115,2004,1.454099031510026
Blue Jays,67,94,4.93,592,161,6,4,37,47.0,16.0,1421.0,6281,1505,823,778,181,608,47,58,60,11,956,2004,1.4869809992962701
White Sox,83,79,4.91,561,162,8,2,34,57.0,12.0,1432.1,6189,1505,831,782,224,527,36,48,43,3,1013,2004,1.41889532853851
Tigers,72,90,4.93,594,162,7,4,35,58.0,28.0,1439.2,6296,1542,844,788,190,530,33,54,71,6,995,2004,1.4396887159533074
Diamondbacks,51,111,4.98,633,162,5,2,33,55.0,22.0,1436.0,6418,1480,899,795,197,668,79,75,71,8,1153,2004,1.4958217270194987
Royals,58,104,5.16,571,162,6,2,25,48.0,22.0,1420.1,6320,1638,905,815,208,518,49,56,60,10,887,2004,1.5182029434546864
Reds,76,86,5.21,659,162,5,2,47,80.0,30.0,1443.2,6451,1595,907,836,236,572,55,54,74,3,992,2004,1.5015243902439024
Devil Rays,70,91,4.82,562,161,3,0,35,46.0,10.0,1417.0,6261,1459,842,759,192,580,35,93,55,7,923,2004,1.438955539872971
Rockies,68,94,5.54,635,162,3,0,36,67.0,34.0,1435.1,6535,1634,923,883,198,697,84,71,66,6,947,2004,1.6242770538638422
Giants,91,71,4.34,683,162,8,5,46,87.0,28.0,1457.0,6321,1481,770,703,161,548,35,47,52,2,1020,2004,1.3925875085792725
